Restaurant Name,Locality,Cuisines,Average Cost for two,Aggregate rating
Tastee Chauka,Sector 29,North Indian,400,3.7
Caffí© La Poya,Sector 30,Cafe,700,3.7
Elixir Health Cafí©,Sector 30,Cafe,900,3.7
KD's Hunger Point,Sector 31,North Indian,300,3.7
Punjabi Tadka,Sector 34,North Indian,500,3.7
Al Bake,Sector 37,Fast Food,500,3.7
Cafe Fusion,Sector 37,Cafe,400,3.7
Fit Bites,Sector 37,Healthy Food,900,3.7
Hunger Strike,Sector 37,Fast Food,500,3.7
Thee Pot,Sector 37,Cafe,500,3.7
Kenny Rogers Roasters,Sector 38,American,1400,3.7
Bistro 365,Sector 41,Cafe,600,3.7
Hungry - I,Sector 44,Cafe,600,3.7
Smoking Tikka,Sector 44,North Indian,700,3.7
Dietwholic,Sector 51,Healthy Food,700,3.7
Grub Patio,Sector 72,Cafe,700,3.7
Mandarin Trail,The Great India Place,Chinese,1600,3.7
Pizza Hut,The Great India Place,Italian,1100,3.7
Spice Court - Hotel Maurya,Hotel Maurya,North Indian,1700,3.7
The Smoothie Bar,Heritage Town,Desserts,300,3.7
#Dilliwaala6,White Town,North Indian,900,3.7
Prana,Harmu,European,1100,3.7
Yellow Sapphire,Hotel Capitol Hill,Continental,1100,3.7
7th Heaven,Lalpur,South Indian,500,3.7
Wok On Fire,Golden Square,Chinese,900,3.7
Pizzeria Vaatika Cafe,Assi Ghat,Pizza,800,3.7
Blue Lassi,Bhelupur,Beverages,400,3.7
Baati Chokha,Dashaswmedh Road,North Indian,500,3.7
Alpha Hotel,Jagadamba Junction,North Indian,400,3.7
Tea Trails,Maharani Peta,Fast Food,600,3.7
Kaloreez,Siripuram,Cafe,500,3.7
Momo Milk,Bogor Timur,Cafe,70100,3.7
Onokabe,Alam Sutera Town Center,Indonesian,300100,3.7
wagamama,Wellington Central,Japanese,100,3.7
Ju Ju's Cafe,Brindleyplace,Cafe,100,3.7
Handmade Burger Co.,Bullring Shopping Centre,Burger,100,3.7
Mughal E Azam,Sparkhill,Pakistani,100,3.7
Civerinos,Old Town,Pizza,100,3.7
Lahore,Rusholme,Indian,100,3.7
Coral - InterContinental Doha,Hotel Intercontinental Doha,International,600,3.7
The Butcher's Wife,Athlone,Pizza,300,3.7
La Parada,CBD,Spanish,400,3.7
CIOCONAT Lounge,Cinnamon Gardens,Italian,2600,3.7
Leman Kí_ltí_r,Kadk_y Merkez,Restaurant Cafe,100,3.7
Huqqa,Kuru_eme,Italian,200,3.7
Cafe Arabelle,Nuvali,Cafe,900,3.6
Buena Carne,guas Claras,Bar Food,100,3.6
Taypíç,Lago Sul,Peruvian,200,3.6
Brazilian American Burgers,Sudoeste,American,100,3.6
Hong Kong Cafe,Albany,Chinese,100,3.6
Mikata Japanese Steakhouse,Albany,Japanese,100,3.6
Bluebird Diner,Iowa City,Breakfast,100,3.6
Samurai Japanese Cuisine & Sushi Bar,Columbus,Japanese,100,3.6
The Giggling Goat,Dicky Beach,Coffee and Tea,100,3.6
Fiesta Cancun,Dubuque,Mexican,100,3.6
Houlihan's,Dubuque,American,100,3.6
Kalmes Breaktime Bar & Grill,Dubuque,American,100,3.6
Mario's Italian Restaurant,Dubuque,American,100,3.6
Pepper Sprout Incorporated,Dubuque,American,100,3.6
Shot Tower Inn,Dubuque,Italian,100,3.6
Woodfire Grille,Dubuque,American,100,3.6
Burger Queen Drive In,Lakeview,Burger,100,3.6
Stillwater on Belmore,Lorn,Breakfast,100,3.6
Vince's Restaurant & Pizzeria,Monroe,Italian,100,3.6
The Artesian Restaurant,Ojo Caliente,American,100,3.6
The Coop,Winter Park,Southern,100,3.6
Riverwalk Cafe,Lava Hot Springs,Asian,100,3.6
Royal Hotel,Lava Hot Springs,Pizza,100,3.6
Butterburrs,Pocatello,American,100,3.6
Sandpiper Restaurant & Lounge,Pocatello,American,100,3.6
Senor Iguanas,Pocatello,Mexican,100,3.6
Sushi Family,Pocatello,Asian,100,3.6
The Bridge,Pocatello,New American,100,3.6
Bob Roe's Pizza,Sioux City,American,100,3.6
Famous Dave's,Sioux City,BBQ,100,3.6
HuHot Mongolian Grill,Sioux City,Asian,100,3.6
Anchorage Cafe Restaurant Wine Bar,Victor Harbor,Coffee and Tea,100,3.6
J's Homestyle Cooking,Cedar Falls,American,100,3.6
Montage,Cedar Falls,American,100,3.6
Mulligan's Brick Oven Grill,Cedar Falls,Burger,100,3.6
SOHO Sushi Bar & Deli,Cedar Falls,Sandwich,100,3.6
Texas Roadhouse,Cedar Falls,American,100,3.6
Tony's La Pizzeria,Cedar Falls,Pizza,100,3.6
Chapala,Waterloo,Mexican,100,3.6
Galleria de Paco,Waterloo,American,100,3.6
Rudy's Tacos,Waterloo,Mexican,100,3.6
Sangeetha Vegetarian Restaurant,Madinat Zayed,Indian,100,3.6
Time2Eat - Mama Chicken,Agra Cantt,North Indian,600,3.6
G Thal,Khandari,Rajasthani,900,3.6
MoMo Cafí© - Courtyard By Marriott,Courtyard By Marriott,North Indian,1500,3.6
Cafe El Chico,Civil Lines,Continental,1100,3.6
Paradise,Civil Lines,Desserts,600,3.6
Brijwasi Chat Bhandar,INA Colony,Street Food,200,3.6
Sakhis Watz Kukin,Ranjit Avenue,North Indian,800,3.6
Kream N Krunch,Akashwani,North Indian,900,3.6
d' Curry House,Hotel Green Olive,Continental,1100,3.6
Da pizzeria,Maharana Pratap Nagar,Pizza,600,3.6
Papa Mexicano,Maharana Pratap Nagar,Fast Food,400,3.6
99 North Restaurant,Patia,North Indian,500,3.6
The Punjabi Essence Restaurant,Chukkuwala,North Indian,900,3.6
Dunkin' Donuts,Crown Interiorz Mall,Burger,700,3.6
The Chocolate Room,Crown Interiorz Mall,Cafe,1000,3.6
Briosca,Sector 15,Bakery,500,3.6
Chaudhary Bhojnalaya,Sector 15,North Indian,500,3.6
Giani,Sector 15,Ice Cream,500,3.6
Hash Stix,Sector 15,Fast Food,300,3.6
Keventers,Sector 15,Beverages,500,3.6
Perfect Bake,Sector 15,Bakery,500,3.6
Twist of Italy,Sector 37,Chinese,400,3.6
FoodByMom,Indirapuram,North Indian,400,3.6
Dunkin' Donuts,Shipra Mall,Burger,700,3.6
Haldiram's,Shipra Mall,North Indian,700,3.6
Faaso's,Central Plaza Mall,North Indian,700,3.6
Cherry Comet,Cyber Hub,Ice Cream,500,3.6
Holy Smoke,Cyber Hub,Steak,1900,3.6
Italiano,Cyber Hub,Italian,1600,3.6
Not Just Paranthas,Cyber Hub,North Indian,1200,3.6
Red Mango,Cyber Hub,Cafe,800,3.6
Instapizza,DLF Galleria,Pizza,1000,3.6
Rawleaf,DLF Phase 1,Healthy Food,800,3.6
Burger Hut,DLF Phase 3,Burger,400,3.6
Fomads,DLF Phase 3,North Indian,400,3.6
The Baker's Bar  ... Bakery & Cafe,DLF Phase 3,Italian,500,3.6
Wah! Amritsar,DLF Phase 4,North Indian,800,3.6
World In A Box,DLF Phase 4,Healthy Food,800,3.6
Burger Point,DLF Phase 5,Burger,400,3.6
Bizibean,DLF South Point Mall,Cafe,600,3.6
Coffee & Chai Co.,DLF South Point Mall,Italian,1200,3.6
Greek Food & Beyond,DLF South Point Mall,Greek,1300,3.6
The Food Store - DoubleTree by Hilton,DoubleTree by Hilton,European,3100,3.6
Abar Khabo,DT Mega Mall,Bengali,600,3.6
Moti Mahal Delux,DT Mega Mall,North Indian,1100,3.6
Fortune Deli - Fortune Select Excalibur,Fortune Select Excalibur,Bakery,1100,3.6
Di Miso,Global Foyer Mall,Korean,1600,3.6
All Time Cafe,Golf Course Road,North Indian,600,3.6
Baba's,Golf Course Road,North Indian,1000,3.6
Kabab Mistri,Golf Course Road,North Indian,600,3.6
Nooba,Golf Course Road,Chinese,1600,3.6
Wangchuk's Ladakhi Kitchen,Golf Course Road,Tibetan,900,3.6
Crust Bistro,Huda City Centre Metro Station,Italian,900,3.6
Dunkin' Donuts,Huda City Centre Metro Station,Burger,700,3.6
Daikichi,JMD Regent Arcade Mall,Japanese,1100,3.6
I-Kandy - Le Meridien Gurgaon,Le Meridien Gurgaon,Finger Food,4600,3.6
Doughlicious,MG Road,Bakery,600,3.6
The Cakelicious Factory,MG Road,Bakery,300,3.6
Haldiram's,MGF Metropolitan Mall,North Indian,700,3.6
Keventers,MGF Metropolitan Mall,Beverages,500,3.6
Khaaja Chowk,MGF Metropolitan Mall,North Indian,1100,3.6
Mangle Di Kulfi,Old Railway Road,Ice Cream,200,3.6
Hot Cherries,Omaxe Gurgaon Mall,Bakery,500,3.6
Haldiram's,Sahara Mall,North Indian,700,3.6
Game n Grillz,Sector 23,North Indian,900,3.6
Domino's Pizza,Sector 29,Pizza,800,3.6
Hunter Valley,Sector 29,Mexican,1700,3.6
Punjabi by Nature,Sector 29,North Indian,1600,3.6
Swagath,Sector 29,North Indian,1600,3.6
Bakers Oven,Sector 31,Bakery,700,3.6
Dimsum Democracy,Sector 56,Chinese,600,3.6
Kishu Di Hatti Sweets,Sector 7,Mithai,200,3.6
Minus5degree,Shopping Mall,Desserts,300,3.6
First Eat,Sohna Road,Healthy Food,400,3.6
Shama Chicken Corner,Sohna Road,Biryani,600,3.6
Giani,Supermart 1,Ice Cream,500,3.6
Wai Yu Mun Ching,Supermart 1,Chinese,900,3.6
Cafe Bonkerz,Sushant Shopping Arcade,American,900,3.6
Melange - The Pllazio Hotel,The Pllazio Hotel,North Indian,2600,3.6
Doughlicious,Unitech Infospace,Bakery,600,3.6
Live Wok,Unitech Infospace,Chinese,600,3.6
Pizzoccheri,Unitech Infospace,Fast Food,900,3.6
Bakers Oven,Vyapar Kendra,Bakery,700,3.6
Burgzz Bee,Vyapar Kendra,Burger,300,3.6
Chinese Corner,Vyapar Kendra,Chinese,600,3.6
Yo! China,Ulubari,Chinese,900,3.6
4 Seasons,Uzan Bazaar,Chinese,400,3.6
Atmosphere Grill Cafe Sheesha,Mall Road,Indian,100,3.6
Anaicha's Food Joint,Swaroop Nagar,Chinese,900,3.6
Thakkaaram,Vyttila,Kerala,700,3.6
Ocean Grill,Sector 5,Continental,1600,3.6
Basant Restaurant,A Hotel,North Indian,900,3.6
Domino's Pizza,Main Market,Pizza,800,3.6
#45,Attavar,Cafe,700,3.6
Maharaja Restaurant,Balmatta,South Indian,800,3.6
Brio Cafe and Grill,Hampankatta,Cafe,600,3.6
Tea Villa Cafe,Vile Parle East,Cafe,1100,3.6
By The Way,Vijay Nagar,North Indian,700,3.6
Cafe Cornucopia,Vijay Nagar,Cafe,800,3.6
Oyster Bay,Vijay Nagar,North Indian,1100,3.6
Spice Route,Anand Wali Goan,North Indian,1100,3.6
Veg Aroma,Anand Wali Goan,North Indian,700,3.6
The Bake Studio,Bon Vivant,Cafe,500,3.6
Letz Roll,Alaknanda,Ice Cream,300,3.6
Nukkad,Alaknanda,Chinese,700,3.6
Fashion Tv Cafe,Ambience Mall,Continental,2300,3.6
Kylin Skybar,Ambience Mall,Chinese,2300,3.6
Burger Dominion,Anand Vihar,Fast Food,600,3.6
Fabulous Cake Bites,Anand Vihar,Bakery,500,3.6
Sprinkles Cup & Cake,Anand Vihar,Bakery,400,3.6
Target Ice Cream & Bakers,Anand Vihar,Desserts,400,3.6
Restaurant De Seoul,Ansal Plaza Mall,Japanese,2600,3.6
Invitation,Ashok Vihar Phase 2,North Indian,1400,3.6
Bablu Chic Inn,Ashok Vihar Phase 3,Mughlai,800,3.6
Masala Basket,Ashok Vihar Phase 3,North Indian,500,3.6
Bengali Sweet House,Barakhamba Road,North Indian,500,3.6
Soul Curry - Bellagio,Bellagio,North Indian,1200,3.6
Khan Omelette Corner,Chandni Chowk,Fast Food,200,3.6
Pt. Gaya Prasad Shiv Charan Paranthe Wale,Chandni Chowk,North Indian,200,3.6
Pt.Kanhaiyalal & Durga Prasad Dixit Paranthe Wale,Chandni Chowk,North Indian,200,3.6
Hira Chaat Corner,Chawri Bazar,Street Food,200,3.6
Shakahari Restaurant,Chawri Bazar,North Indian,400,3.6
Shri Gujrat Namkeen Bhandar,Chawri Bazar,Street Food,200,3.6
Standard Sweets,Chawri Bazar,Mithai,300,3.6
Ashirbad,Chittaranjan Park,Fast Food,200,3.6
Maa Tara,Chittaranjan Park,Bengali,600,3.6
Gujarati Samaj Santushti,Civil Lines,Gujarati,400,3.6
Anand Restaurant,Connaught Place,North Indian,600,3.6
Burger Singh,Connaught Place,Burger,600,3.6
Cafe Coffee Day The Square,Connaught Place,Cafe,800,3.6
Cafí© MRP,Connaught Place,North Indian,900,3.6
Life Caffe,Connaught Place,Cafe,1600,3.6
Pind Balluchi,Connaught Place,North Indian,1100,3.6
Privee',Connaught Place,Chinese,5100,3.6
Rajdhani Thali Restaurant,Connaught Place,Gujarati,1000,3.6
South Indian Snacks,Connaught Place,South Indian,400,3.6
Moti Mahal,Daryaganj,North Indian,1200,3.6
Nandlal Ka Dhaba,Daryaganj,North Indian,600,3.6
Suvidha Vegetarian,Daryaganj,North Indian,400,3.6
Amici Cafe,Defence Colony,Cafe,1300,3.6
Arabian Delites,Defence Colony,Lebanese,700,3.6
Cocoberry,Defence Colony,Desserts,400,3.6
Koyla Kebab,Defence Colony,North Indian,800,3.6
Meraki Cafe & Bar,Defence Colony,North Indian,1500,3.6
Moets Oh! Bao,Defence Colony,Chinese,1300,3.6
Subway,Defence Colony,American,600,3.6
Cent Percent The Pastry Shop,Delhi University-GTB Nagar,Bakery,300,3.6
Maharashtra Food Stall,Dilli Haat,Maharashtrian,400,3.6
Manipur Food Stall,Dilli Haat,Chinese,500,3.6
Pizza Hut Delivery,Dilshad Garden,Italian,900,3.6
McDonald's,DLF City Centre Mall,Fast Food,600,3.6
Cafe Brown Sugar,DLF Promenade Mall,Fast Food,800,3.6
Haldiram's,DLF South Square,North Indian,400,3.6
Dunkin' Donuts,East Patel Nagar,Burger,700,3.6
Naivedyam,East Patel Nagar,South Indian,600,3.6
Chaayos,Epicuria Food Mall,Cafe,500,3.6
Khan Chacha,Epicuria Food Mall,North Indian,700,3.6
A Piece of Paris,Greater Kailash (GK) 1,Desserts,700,3.6
Baskin Robbins,Greater Kailash (GK) 1,Ice Cream,400,3.6
New Minar,Greater Kailash (GK) 1,North Indian,1300,3.6
The Chocolate Haven,Greater Kailash (GK) 1,Bakery,300,3.6
Tibb's Frankie,Greater Kailash (GK) 1,Fast Food,300,3.6
Backkerei,Greater Kailash (GK) 2,Bakery,500,3.6
Beijing Street,Greater Kailash (GK) 2,Chinese,700,3.6
Defence Bakery,Greater Kailash (GK) 2,Bakery,500,3.6
Giani's,Greater Kailash (GK) 2,Ice Cream,500,3.6
New York Slice - Express,Greater Kailash (GK) 2,Pizza,900,3.6
Nirula's Ice Cream,Greater Kailash (GK) 2,Desserts,300,3.6
Uber Lounge,Greater Kailash (GK) 2,Continental,2300,3.6
Cress Bistro,Greater Kailash (GK) 3,North Indian,1300,3.6
Frosted Heaven,Greater Kailash (GK) 3,Bakery,400,3.6
Baked Love By Vatsala,Green Park,Bakery,800,3.6
The Chai Story,Green Park,Cafe,400,3.6
Nut Khat Caterers,Gujranwala Town,Fast Food,400,3.6
Penta Cafe,Gujranwala Town,Fast Food,600,3.6
Penta Cafeteria,Gujranwala Town,Fast Food,600,3.6
Havmor Ice Cream,Hauz Khas,Ice Cream,300,3.6
Lord William Tea Lounge - Hotel The Royal Plaza,Hotel The Royal Plaza,Cafe,2600,3.6
Cafe - Hyatt Regency,Hyatt Regency,Cafe,3600,3.6
Polo Lounge - Hyatt Regency,Hyatt Regency,Finger Food,2600,3.6
9 Scoops,Jail Road,Ice Cream,400,3.6
Sunny Chicken Soup,Jail Road,North Indian,300,3.6
Haji Mohd. Hussain,Jama Masjid,Mughlai,400,3.6
Burger Point,Janakpuri,Burger,400,3.6
Cakes 'n' Crumbs,Janakpuri,Bakery,500,3.6
Hot Cherries,Janakpuri,Bakery,500,3.6
McDonald's,Janakpuri,Fast Food,600,3.6
Pasta Xpress,Janakpuri,Italian,800,3.6
TBK Kulcha's,Janakpuri,Fast Food,400,3.6
Janta Bakery,Jangpura,Bakery,200,3.6
The Beer Cafe,Janpath,Finger Food,1300,3.6
Eggspectation - Jaypee Vasant Continental,Jaypee Vasant Continental,European,3100,3.6
Cafe 27,Kailash Colony,North Indian,1600,3.6
Behrouz Biryani,Kalkaji,Biryani,700,3.6
Big Dragon,Kalkaji,Chinese,900,3.6
Cafe Filter,Kalkaji,Fast Food,700,3.6
FreshMenu,Kalkaji,Italian,700,3.6
Just Vada Pav,Kalkaji,Street Food,200,3.6
Khidmat,Kalkaji,North Indian,1400,3.6
New Shere Punjab Dhaba,Kalkaji,North Indian,700,3.6
Chowringhee,Kamla Nagar,Fast Food,300,3.6
Darvesh Corner,Kamla Nagar,North Indian,600,3.6
Manohar Bikkaneri,Kamla Nagar,Bakery,300,3.6
Shake Square,Kamla Nagar,Beverages,500,3.6
Urban Hub,Kamla Nagar,Chinese,2000,3.6
Veg Ex,Kamla Nagar,North Indian,600,3.6
Wokin Street,Kamla Nagar,Chinese,400,3.6
Aroma Rest O Bar,Karkardooma,North Indian,900,3.6
The Wrap Factory,Karkardooma,Fast Food,300,3.6
Anjlika Pastry Shop,Karol Bagh,Bakery,500,3.6
Chargrill Resto Bar,Karol Bagh,North Indian,1000,3.6
Pakode Ki Dukaan,Karol Bagh,Street Food,100,3.6
Peshawari Chicken Corner,Karol Bagh,North Indian,600,3.6
Ravi Raj Di Kulfi,Karol Bagh,Desserts,200,3.6
Subway,Karol Bagh,American,600,3.6
Boombox Cafe,Khan Market,American,2100,3.6
Cafe Illuminatii,Khan Market,Continental,2600,3.6
Cafe Turtle,Khan Market,Cafe,1100,3.6
Cravings By Arshi Dhupia,Khan Market,Bakery,900,3.6
La Bodega,Khan Market,Mexican,1800,3.6
t Lounge by Dilmah,Khan Market,Cafe,900,3.6
Chatore,Kirti Nagar,Street Food,300,3.6
Clay 1 Grill,Kirti Nagar,North Indian,1100,3.6
Mr. Grill,Kirti Nagar,North Indian,700,3.6
Gokul Foods,Krishna Nagar,North Indian,600,3.6
Oberoi's,Lajpat Nagar 1,North Indian,700,3.6
Bhane,Lodhi Colony,Ice Cream,400,3.6
Sugar Blossoms,Lodhi Colony,Desserts,400,3.6
Granma's Homemade,Lodhi Road,Bakery,300,3.6
Behrouz Biryani,Malviya Nagar,Biryani,700,3.6
Dunkin' Donuts,Malviya Nagar,Burger,700,3.6
Kolkata Kathi Roll,Malviya Nagar,Fast Food,200,3.6
Moti Sweets,Malviya Nagar,Mithai,200,3.6
Nazeer Foods,Malviya Nagar,North Indian,700,3.6
Pema's,Malviya Nagar,Chinese,800,3.6
Soi Thai,Malviya Nagar,Thai,1600,3.6
Speedy Chow,Malviya Nagar,Chinese,900,3.6
The Delhi Canteen,Malviya Nagar,North Indian,1100,3.6
Baked Buns,Mayur Vihar Phase 1,Fast Food,600,3.6
Duggal Snacks,Mayur Vihar Phase 2,Street Food,100,3.6
Veggie-Licious,Mayur Vihar Phase 2,North Indian,500,3.6
McDonald's,Model Town 2,Fast Food,600,3.6
Al Quresh,Moti Bagh,North Indian,700,3.6
Paramjeet Machi Wala,Moti Nagar,Seafood,800,3.6
Rajan Corner,Moti Nagar,South Indian,500,3.6
Pizza Hut Delivery,Nehru Place,Italian,900,3.6
Shree Rathnam,Nehru Place,South Indian,900,3.6
Subway,Nehru Place,American,600,3.6
Burger King,Netaji Subhash Place,Burger,600,3.6
Chills 'n' Grills,Netaji Subhash Place,Fast Food,400,3.6
Giani,Netaji Subhash Place,Ice Cream,500,3.6
La Americana,Netaji Subhash Place,Fast Food,500,3.6
The Chai Story,Netaji Subhash Place,Cafe,400,3.6
Hotel Malabar,New Friends Colony,Kerala,500,3.6
Tuptakes,New Friends Colony,Bakery,400,3.6
Costa Coffee,Pacific Mall,Cafe,700,3.6
Chicken Inn,Pandara Road Market,North Indian,1600,3.6
Ashok Meat Wala,Paschim Vihar,Mughlai,600,3.6
Deli 63,Paschim Vihar,Fast Food,400,3.6
Kake Da Hotel,Paschim Vihar,North Indian,700,3.6
Puri Bakers,Paschim Vihar,Bakery,400,3.6
Wonder Taste of Spices,Paschim Vihar,North Indian,700,3.6
Dosa Corner,Pitampura,South Indian,400,3.6
Green Chick Chop,Pitampura,Raw Meats,400,3.6
Greenvich,Pitampura,Chinese,400,3.6
Kay's Chicken Corner,Pitampura,Mughlai,800,3.6
Peshawari,Pitampura,North Indian,600,3.6
Republic Of Food Lovers,Pitampura,Fast Food,500,3.6
The Midnight Heroes,Pitampura,North Indian,1000,3.6
The Riding Guns Cafe,Preet Vihar,Cafe,900,3.6
Alkakori,Punjabi Bagh,North Indian,900,3.6
Arabian Delites,Punjabi Bagh,Lebanese,700,3.6
Cafe Coffee Day,Punjabi Bagh,Cafe,500,3.6
Nutritious Nation,Punjabi Bagh,Healthy Food,1000,3.6
Paapi Paet,Punjabi Bagh,Fast Food,600,3.6
The Derby Cookhouse,Punjabi Bagh,Continental,1900,3.6
The Midnight Heroes,Punjabi Bagh,North Indian,1000,3.6
Yo! China,Punjabi Bagh,Chinese,1300,3.6
Burger King,PVR Anupam Complex,Burger,600,3.6
McDonald's,PVR Anupam Complex,Fast Food,600,3.6
The Midnight Heroes,R K Puram,North Indian,1000,3.6
The Pastry Shop - Radisson Blu Plaza Delhi,Radisson Blu Plaza Delhi,Bakery,1100,3.6
Kings,Rajinder Nagar,Desserts,400,3.6
Punjabi Chaap Corner,Rajinder Nagar,Fast Food,500,3.6
Standard Corner,Rajinder Nagar,North Indian,200,3.6
Berco's,Rajouri Garden,Chinese,1200,3.6
Gayway Bakery,Rajouri Garden,Bakery,400,3.6
IKKA - The Ace Bar,Rajouri Garden,Continental,1300,3.6
Pind Balluchi,Rajouri Garden,North Indian,900,3.6
SardarBuksh Coffee & Co.,Rajouri Garden,Beverages,300,3.6
The Momoz Hub,Rajouri Garden,Chinese,600,3.6
The Post Office Cafe,Rajouri Garden,Continental,1700,3.6
Behrouz Biryani,Rohini,Biryani,700,3.6
Gaurav Pastry Palace,Rohini,Bakery,300,3.6
Punjabi Dhaba,Rohini,North Indian,300,3.6
DEL - Roseate House,Roseate House,Continental,3100,3.6
Cafe Rock 'n' Rolla,Safdarjung,Fast Food,700,3.6
Kori's,Safdarjung,Cafe,700,3.6
Treat Up Cafe and Restaurant,Safdarjung,Cafe,600,3.6
Weird Time Food,Safdarjung,Continental,700,3.6
India Grill - Hilton Garden Inn,Saket,Continental,3100,3.6
SS ONN THE GO,Saket,Street Food,600,3.6
Cafe 121,Satyaniketan,Continental,700,3.6
Cafí© 101,Satyaniketan,Cafe,700,3.6
Chowringhee,Satyaniketan,Street Food,700,3.6
Madira,Satyaniketan,Cafe,900,3.6
Papa Buns,Satyaniketan,Cafe,300,3.6
Subway,Satyaniketan,American,600,3.6
Thikaana,Satyaniketan,Cafe,600,3.6
Uptown Cafe,Satyaniketan,Cafe,1100,3.6
Barista,SDA,Cafe,700,3.6
Keventers,SDA,Beverages,500,3.6
Barista,Select Citywalk Mall,Cafe,700,3.6
Harry's Bar + Cafe,Select Citywalk Mall,Mediterranean,1700,3.6
The Coffee Bean & Tea Leaf,Select Citywalk Mall,Cafe,800,3.6
Cafe Red,Shahpur Jat,Cafe,1200,3.6
Ma Cuisine,Shahpur Jat,North Indian,500,3.6
Old Town Cafe,Shahpur Jat,Cafe,900,3.6
Charan Singh Kulfi & Kala Khatta,South Extension 2,Ice Cream,200,3.6
Chinese Hut,South Extension 2,Chinese,600,3.6
McDonald's,South Extension 2,Fast Food,600,3.6
Moti Mahal Delux- Legendary Culinary,South Extension 2,North Indian,1600,3.6
Qureshi's Kabab Corner,South Extension 2,North Indian,700,3.6
3 Pegs Down,Southern Park Mall,Continental,1300,3.6
World of Wok,Spark Mall,Chinese,600,3.6
Basil & Thyme,Sunder Nagar,Continental,2300,3.6
Orange Peel by Rasleen Kochhar,Sunder Nagar,Bakery,800,3.6
Burger King,TDI Mall,Burger,600,3.6
Pizza Hut,TDI Mall,Italian,1100,3.6
The Oudh - The Ashok,The Ashok,North Indian,3800,3.6
Cascades - The Grand New Delhi,The Grand New Delhi,North Indian,3300,3.6
The Atrium - The Imperial,The Imperial,European,2600,3.6
Woks - The Lalit New Delhi,The Lalit New Delhi,Chinese,4600,3.6
Cherry Bar - The Leela Ambience Convention Hotel,The Leela Ambience Convention Hotel,Finger Food,2700,3.6
Mei Kun - The Leela Ambience Convention Hotel,The Leela Ambience Convention Hotel,Thai,3600,3.6
The Lobby Lounge - The Leela Palace,The Leela Palace,Cafe,2100,3.6
Club BW - The Suryaa New Delhi,The Suryaa New Delhi,Finger Food,4500,3.6
Ricks Bar - The Taj Mahal Hotel,The Taj Mahal Hotel,Malaysian,4300,3.6
Chopsticks,The Village Restaurant Complex,Chinese,1800,3.6
Jughead's Fast Food Corner,Uday Park,Chinese,600,3.6
Domino's Pizza,Unity One Mall,Pizza,800,3.6
McDonald's,V3S Mall,Fast Food,600,3.6
Nanking,Vasant Kunj,Chinese,1600,3.6
KFC,Vasant Square Mall,American,600,3.6
Costa Coffee,Vasant Vihar,Cafe,700,3.6
Georgia Dakota,Vasant Vihar,Bakery,500,3.6
Jack 'n' Chill,Vijay Nagar,American,600,3.6
Kake Di Hatti,Vijay Nagar,North Indian,500,3.6
The University Bistro,Vijay Nagar,Cafe,600,3.6
Food Express,Vivek Vihar,Chinese,900,3.6
Sai Bajaj Restaurant,Vivek Vihar,Chinese,400,3.6
The Chimney Bar-Be-Que,Vivek Vihar,North Indian,600,3.6
Urban Punjab,Vivek Vihar,North Indian,700,3.6
Biryani Blues,Worldmark 1,Biryani,1100,3.6
Taco Bell,DLF Mall of India,Mexican,600,3.6
Chaayos,Gardens Galleria,Cafe,500,3.6
Chanda Food,Jaipuria Plaza,Chinese,400,3.6
Goli Vada Pav No. 1,Jaipuria Plaza,Street Food,200,3.6
Happy Hakka,Jaipuria Plaza,Chinese,700,3.6
Pita Pit,Logix City Centre,Healthy Food,700,3.6
Mera Vala Dabba,Sector 110,North Indian,500,3.6
Moti Mahal Delux- Legendary Culinary,Sector 110,North Indian,1000,3.6
Noshh,Sector 110,North Indian,900,3.6
Tadqa Tandoor Express,Sector 110,North Indian,800,3.6
Tpot,Sector 125,Cafe,500,3.6
Lawn Bistro,Sector 15,North Indian,1600,3.6
Baker Street,Sector 18,Bakery,400,3.6
Bikanervala Bliss,Sector 18,North Indian,1300,3.6
Cafe Coffee Day,Sector 18,Cafe,500,3.6
Domino's Pizza,Sector 18,Pizza,800,3.6
Jambox,Sector 18,Fast Food,600,3.6
LIT Ultrabar,Sector 18,Continental,1600,3.6
Nazeer Foods,Sector 18,Mughlai,700,3.6
Swagath,Sector 18,North Indian,1600,3.6
The Patiala Kkitchen,Sector 18,North Indian,1700,3.6
Wat-a-Burger!,Sector 18,Fast Food,400,3.6
Owlcity,Sector 19,Fast Food,500,3.6
Snacks India,Sector 2,North Indian,600,3.6
Captain Curry,Sector 27,North Indian,500,3.6
Chaayos,Sector 34,Cafe,500,3.6
Burnout,Sector 37,Continental,500,3.6
Green Restaurant,Sector 37,North Indian,500,3.6
Be Bhukkad,Sector 41,North Indian,800,3.6
Engineers Da Dhaba,Sector 41,North Indian,500,3.6
Gopala,Sector 50,Mithai,300,3.6
Biryani Vice,Sector 51,North Indian,600,3.6
Goldenplates,Sector 51,North Indian,700,3.6
Mishti's Kitchen,Sector 51,Chinese,600,3.6
Speedy Chow,Sector 62,Chinese,900,3.6
Kitchen Mantra,Sector 93,North Indian,600,3.6
Wabi Sabi,Sector 93,Bakery,400,3.6
Haldiram's,Spice World Mall,North Indian,700,3.6
Crazy Noodles,The Great India Place,Chinese,1200,3.6
Nazeer Foods,The Great India Place,Mughlai,700,3.6
